Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-02-01,308.0,300,8.0,239.0,234.0,61.0,66.0,2015,2
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-02-01,144.0,139,5.0,123.0,124.0,16.0,15.0,2015,2
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-02-01,308.0,301,7.0,229.0,248.0,72.0,53.0,2015,2
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-02-01,396.0,393,3.0,357.0,354.0,36.0,39.0,2015,2
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-02-01,543.0,536,7.0,494.0,479.0,42.0,57.0,2015,2
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-02-01,969.0,947,22.0,846.0,785.0,101.0,162.0,2015,2
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-02-01,543.0,537,6.0,480.0,447.0,57.0,90.0,2015,2
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-02-01,969.0,947,22.0,832.0,831.0,115.0,116.0,2015,2
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-02-01,87.0,86,1.0,73.0,70.0,13.0,16.0,2015,2
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-02-01,68.0,68,0.0,61.0,60.0,7.0,8.0,2015,2
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-02-01,188.0,188,0.0,149.0,137.0,39.0,51.0,2015,2
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-02-01,68.0,68,0.0,59.0,58.0,9.0,10.0,2015,2
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-02-01,188.0,188,0.0,145.0,149.0,43.0,39.0,2015,2
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-02-01,363.0,355,8.0,322.0,297.0,33.0,58.0,2015,2
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-02-01,498.0,493,5.0,455.0,440.0,38.0,53.0,2015,2
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-02-01,728.0,715,13.0,655.0,619.0,60.0,96.0,2015,2
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-02-01,500.0,493,7.0,453.0,426.0,40.0,67.0,2015,2
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-02-01,722.0,711,11.0,655.0,635.0,56.0,76.0,2015,2
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-03-01,116.0,113,3.0,91.0,95.0,22.0,18.0,2015,3
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-03-01,165.0,163,2.0,138.0,134.0,25.0,29.0,2015,3
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-03-01,346.0,341,5.0,274.0,266.0,67.0,75.0,2015,3
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-03-01,164.0,162,2.0,125.0,125.0,37.0,37.0,2015,3
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-03-01,346.0,340,6.0,277.0,284.0,63.0,56.0,2015,3
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-03-01,434.0,431,3.0,395.0,380.0,36.0,51.0,2015,3
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-03-01,599.0,591,8.0,540.0,513.0,51.0,78.0,2015,3
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-03-01,1072.0,1053,19.0,904.0,871.0,149.0,182.0,2015,3
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-03-01,598.0,590,8.0,502.0,492.0,88.0,98.0,2015,3
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-03-01,1070.0,1051,19.0,930.0,918.0,121.0,133.0,2015,3
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-03-01,121.0,121,0.0,106.0,100.0,15.0,21.0,2015,3
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-03-01,94.0,94,0.0,89.0,87.0,5.0,7.0,2015,3
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-03-01,224.0,223,1.0,177.0,171.0,46.0,52.0,2015,3
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-03-01,95.0,95,0.0,91.0,87.0,4.0,8.0,2015,3
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-03-01,224.0,223,1.0,176.0,179.0,47.0,44.0,2015,3
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-03-01,406.0,404,2.0,386.0,347.0,18.0,57.0,2015,3
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-03-01,545.0,536,9.0,498.0,479.0,38.0,57.0,2015,3
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-03-01,816.0,800,16.0,742.0,707.0,58.0,93.0,2015,3
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-03-01,555.0,543,12.0,483.0,474.0,60.0,69.0,2015,3
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-03-01,812.0,795,17.0,721.0,702.0,74.0,93.0,2015,3
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-04-01,132.0,130,2.0,89.0,106.0,41.0,24.0,2015,4
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-04-01,174.0,169,5.0,112.0,118.0,57.0,51.0,2015,4
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-04-01,348.0,329,19.0,219.0,211.0,110.0,118.0,2015,4
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-04-01,173.0,168,5.0,113.0,106.0,55.0,62.0,2015,4
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-04-01,348.0,330,18.0,219.0,237.0,111.0,93.0,2015,4
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-04-01,408.0,407,1.0,368.0,375.0,39.0,32.0,2015,4
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-04-01,582.0,569,13.0,503.0,494.0,66.0,75.0,2015,4
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-04-01,970.0,921,49.0,796.0,699.0,125.0,222.0,2015,4
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-04-01,582.0,572,10.0,490.0,448.0,82.0,124.0,2015,4
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-04-01,970.0,922,48.0,760.0,777.0,162.0,145.0,2015,4
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-04-01,126.0,126,0.0,96.0,102.0,30.0,24.0,2015,4
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-04-01,103.0,101,2.0,79.0,80.0,22.0,21.0,2015,4
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-04-01,244.0,242,2.0,195.0,172.0,47.0,70.0,2015,4
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-04-01,103.0,101,2.0,86.0,83.0,15.0,18.0,2015,4
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-04-01,244.0,242,2.0,169.0,182.0,73.0,60.0,2015,4
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-04-01,401.0,390,11.0,350.0,355.0,40.0,35.0,2015,4
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-04-01,552.0,536,16.0,481.0,464.0,55.0,72.0,2015,4
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-04-01,786.0,742,44.0,665.0,593.0,77.0,149.0,2015,4
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-04-01,552.0,535,17.0,449.0,407.0,86.0,128.0,2015,4
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-04-01,785.0,741,44.0,597.0,610.0,144.0,131.0,2015,4
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-05-01,111.0,108,3.0,84.0,92.0,24.0,16.0,2015,5
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-05-01,169.0,162,7.0,124.0,124.0,38.0,38.0,2015,5
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-05-01,341.0,325,16.0,260.0,274.0,65.0,51.0,2015,5
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-05-01,169.0,162,7.0,124.0,123.0,38.0,39.0,2015,5
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-05-01,341.0,325,16.0,273.0,272.0,52.0,53.0,2015,5
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-05-01,427.0,425,2.0,391.0,379.0,34.0,46.0,2015,5
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-05-01,608.0,596,12.0,559.0,543.0,37.0,53.0,2015,5
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-05-01,1009.0,963,46.0,853.0,851.0,110.0,112.0,2015,5
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-05-01,606.0,595,11.0,545.0,518.0,50.0,77.0,2015,5
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-05-01,1008.0,962,46.0,869.0,824.0,93.0,138.0,2015,5
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-05-01,100.0,97,3.0,79.0,77.0,18.0,20.0,2015,5
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-05-01,96.0,95,1.0,82.0,83.0,13.0,12.0,2015,5
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-05-01,245.0,239,6.0,206.0,207.0,33.0,32.0,2015,5
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-05-01,96.0,95,1.0,85.0,80.0,10.0,15.0,2015,5
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-05-01,244.0,238,6.0,205.0,202.0,33.0,36.0,2015,5
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-05-01,405.0,392,13.0,357.0,331.0,35.0,61.0,2015,5
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-05-01,566.0,539,27.0,485.0,472.0,54.0,67.0,2015,5
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-05-01,814.0,774,40.0,702.0,704.0,72.0,70.0,2015,5
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-05-01,567.0,544,23.0,498.0,470.0,46.0,74.0,2015,5
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-05-01,814.0,767,47.0,684.0,652.0,83.0,115.0,2015,5
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-06-01,111.0,108,3.0,79.0,89.0,29.0,19.0,2015,6
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-06-01,182.0,180,2.0,142.0,143.0,38.0,37.0,2015,6
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-06-01,335.0,324,11.0,252.0,253.0,72.0,71.0,2015,6
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-06-01,182.0,178,4.0,143.0,136.0,35.0,42.0,2015,6
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-06-01,335.0,326,9.0,253.0,264.0,73.0,62.0,2015,6
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-06-01,435.0,432,3.0,391.0,399.0,41.0,33.0,2015,6
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-06-01,604.0,590,14.0,555.0,553.0,35.0,37.0,2015,6
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-06-01,997.0,962,35.0,887.0,869.0,75.0,93.0,2015,6
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-06-01,614.0,600,14.0,546.0,508.0,54.0,92.0,2015,6
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-06-01,989.0,953,36.0,863.0,860.0,90.0,93.0,2015,6
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-06-01,115.0,114,1.0,96.0,95.0,18.0,19.0,2015,6
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-06-01,90.0,90,0.0,75.0,76.0,15.0,14.0,2015,6
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-06-01,237.0,232,5.0,207.0,208.0,25.0,24.0,2015,6
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-06-01,90.0,90,0.0,84.0,79.0,6.0,11.0,2015,6
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-06-01,236.0,231,5.0,209.0,204.0,22.0,27.0,2015,6
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-06-01,392.0,382,10.0,356.0,342.0,26.0,40.0,2015,6
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-06-01,551.0,541,10.0,510.0,511.0,31.0,30.0,2015,6
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-06-01,786.0,753,33.0,719.0,706.0,34.0,47.0,2015,6
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-06-01,551.0,541,10.0,516.0,492.0,25.0,49.0,2015,6
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-06-01,788.0,753,35.0,711.0,697.0,42.0,56.0,2015,6
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-07-01,130.0,127,3.0,76.0,88.0,51.0,39.0,2015,7
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-07-01,186.0,180,6.0,134.0,131.0,46.0,49.0,2015,7
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-07-01,377.0,356,21.0,232.0,241.0,124.0,115.0,2015,7
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-07-01,186.0,180,6.0,130.0,129.0,50.0,51.0,2015,7
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-07-01,376.0,356,20.0,248.0,248.0,108.0,108.0,2015,7
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-07-01,456.0,456,0.0,404.0,384.0,52.0,72.0,2015,7
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-07-01,635.0,626,9.0,566.0,556.0,60.0,70.0,2015,7
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-07-01,1054.0,1012,42.0,860.0,843.0,152.0,169.0,2015,7
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-07-01,642.0,638,4.0,555.0,512.0,83.0,126.0,2015,7
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-07-01,1047.0,1009,38.0,875.0,813.0,134.0,196.0,2015,7
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-07-01,133.0,130,3.0,100.0,83.0,30.0,47.0,2015,7
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-07-01,105.0,105,0.0,80.0,78.0,25.0,27.0,2015,7
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-07-01,247.0,243,4.0,192.0,191.0,51.0,52.0,2015,7
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-07-01,105.0,105,0.0,85.0,78.0,20.0,27.0,2015,7
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-07-01,249.0,244,5.0,198.0,192.0,46.0,52.0,2015,7
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-07-01,420.0,399,21.0,363.0,312.0,36.0,87.0,2015,7
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-07-01,585.0,566,19.0,526.0,518.0,40.0,48.0,2015,7
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-07-01,845.0,788,57.0,705.0,695.0,83.0,93.0,2015,7
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-07-01,585.0,568,17.0,529.0,499.0,39.0,69.0,2015,7
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-07-01,845.0,785,60.0,692.0,648.0,93.0,137.0,2015,7
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-08-01,116.0,106,10.0,86.0,88.0,20.0,18.0,2015,8
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-08-01,186.0,181,5.0,163.0,167.0,18.0,14.0,2015,8
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-08-01,374.0,356,18.0,301.0,315.0,55.0,41.0,2015,8
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-08-01,186.0,181,5.0,164.0,159.0,17.0,22.0,2015,8
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-08-01,374.0,357,17.0,309.0,312.0,48.0,45.0,2015,8
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-08-01,444.0,442,2.0,419.0,410.0,23.0,32.0,2015,8
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-08-01,621.0,612,9.0,582.0,585.0,30.0,27.0,2015,8
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-08-01,1015.0,989,26.0,919.0,934.0,70.0,55.0,2015,8
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-08-01,632.0,622,10.0,596.0,570.0,26.0,52.0,2015,8
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-08-01,1003.0,979,24.0,910.0,884.0,69.0,95.0,2015,8
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-08-01,118.0,117,1.0,102.0,101.0,15.0,16.0,2015,8
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-08-01,99.0,98,1.0,86.0,88.0,12.0,10.0,2015,8
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-08-01,244.0,237,7.0,201.0,199.0,36.0,38.0,2015,8
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-08-01,99.0,98,1.0,89.0,85.0,9.0,13.0,2015,8
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-08-01,244.0,237,7.0,202.0,200.0,35.0,37.0,2015,8
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-08-01,403.0,395,8.0,374.0,342.0,21.0,53.0,2015,8
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-08-01,571.0,565,6.0,543.0,525.0,22.0,40.0,2015,8
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-08-01,805.0,786,19.0,763.0,758.0,23.0,28.0,2015,8
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-08-01,572.0,566,6.0,543.0,524.0,23.0,42.0,2015,8
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-08-01,806.0,787,19.0,754.0,727.0,33.0,60.0,2015,8
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-09-01,150.0,144,6.0,109.0,120.0,35.0,24.0,2015,9
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-09-01,193.0,183,10.0,145.0,149.0,38.0,34.0,2015,9
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-09-01,344.0,312,32.0,249.0,253.0,63.0,59.0,2015,9
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-09-01,192.0,182,10.0,146.0,144.0,36.0,38.0,2015,9
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-09-01,345.0,314,31.0,252.0,259.0,62.0,55.0,2015,9
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-09-01,438.0,434,4.0,396.0,396.0,38.0,38.0,2015,9
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-09-01,608.0,603,5.0,553.0,553.0,50.0,50.0,2015,9
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-09-01,1012.0,978,34.0,913.0,899.0,65.0,79.0,2015,9
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-09-01,615.0,612,3.0,565.0,548.0,47.0,64.0,2015,9
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-09-01,1005.0,970,35.0,886.0,879.0,84.0,91.0,2015,9
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-09-01,115.0,112,3.0,96.0,93.0,16.0,19.0,2015,9
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-09-01,98.0,98,0.0,85.0,84.0,13.0,14.0,2015,9
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-09-01,240.0,237,3.0,202.0,195.0,35.0,42.0,2015,9
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-09-01,98.0,98,0.0,90.0,85.0,8.0,13.0,2015,9
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-09-01,240.0,237,3.0,196.0,206.0,41.0,31.0,2015,9
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-09-01,393.0,390,3.0,353.0,331.0,37.0,59.0,2015,9
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-09-01,568.0,552,16.0,508.0,490.0,44.0,62.0,2015,9
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-09-01,786.0,761,25.0,721.0,704.0,40.0,57.0,2015,9
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-09-01,569.0,557,12.0,497.0,484.0,60.0,73.0,2015,9
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-09-01,784.0,756,28.0,698.0,690.0,58.0,66.0,2015,9
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-10-01,127.0,127,0.0,93.0,105.0,34.0,22.0,2015,10
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-10-01,174.0,165,9.0,125.0,134.0,40.0,31.0,2015,10
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-10-01,343.0,320,23.0,219.0,227.0,101.0,93.0,2015,10
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-10-01,175.0,166,9.0,135.0,129.0,31.0,37.0,2015,10
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-10-01,339.0,318,21.0,230.0,233.0,88.0,85.0,2015,10
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-10-01,434.0,433,1.0,394.0,394.0,39.0,39.0,2015,10
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-10-01,638.0,631,7.0,576.0,567.0,55.0,64.0,2015,10
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-10-01,1025.0,998,27.0,844.0,817.0,154.0,181.0,2015,10
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-10-01,634.0,628,6.0,555.0,534.0,73.0,94.0,2015,10
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-10-01,1028.0,998,30.0,853.0,813.0,145.0,185.0,2015,10
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-10-01,130.0,129,1.0,109.0,111.0,20.0,18.0,2015,10
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-10-01,101.0,101,0.0,86.0,84.0,15.0,17.0,2015,10
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-10-01,247.0,245,2.0,203.0,201.0,42.0,44.0,2015,10
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-10-01,101.0,101,0.0,89.0,84.0,12.0,17.0,2015,10
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-10-01,247.0,245,2.0,198.0,191.0,47.0,54.0,2015,10
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-10-01,410.0,401,9.0,357.0,351.0,44.0,50.0,2015,10
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-10-01,556.0,542,14.0,493.0,486.0,49.0,56.0,2015,10
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-10-01,814.0,789,25.0,723.0,698.0,66.0,91.0,2015,10
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-10-01,559.0,541,18.0,488.0,448.0,53.0,93.0,2015,10
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-10-01,812.0,790,22.0,714.0,685.0,76.0,105.0,2015,10
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-11-01,129.0,123,6.0,86.0,88.0,37.0,35.0,2015,11
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-11-01,178.0,169,9.0,127.0,126.0,42.0,43.0,2015,11
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-11-01,360.0,340,20.0,206.0,223.0,134.0,117.0,2015,11
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-11-01,177.0,169,8.0,116.0,120.0,53.0,49.0,2015,11
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-11-01,357.0,338,19.0,215.0,219.0,123.0,119.0,2015,11
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-11-01,424.0,422,2.0,391.0,366.0,31.0,56.0,2015,11
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-11-01,673.0,657,16.0,576.0,560.0,81.0,97.0,2015,11
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-11-01,967.0,937,30.0,746.0,744.0,191.0,193.0,2015,11
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-11-01,656.0,642,14.0,552.0,532.0,90.0,110.0,2015,11
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-11-01,965.0,936,29.0,791.0,704.0,145.0,232.0,2015,11
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2015-11-01,128.0,124,4.0,96.0,96.0,28.0,28.0,2015,11
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2015-11-01,97.0,97,0.0,84.0,83.0,13.0,14.0,2015,11
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2015-11-01,236.0,232,4.0,183.0,180.0,49.0,52.0,2015,11
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2015-11-01,97.0,97,0.0,78.0,79.0,19.0,18.0,2015,11
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2015-11-01,236.0,231,5.0,167.0,162.0,64.0,69.0,2015,11
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2015-11-01,391.0,380,11.0,346.0,317.0,34.0,63.0,2015,11
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2015-11-01,533.0,522,11.0,469.0,467.0,53.0,55.0,2015,11
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-11-01,780.0,760,20.0,676.0,654.0,84.0,106.0,2015,11
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-11-01,544.0,531,13.0,444.0,426.0,87.0,105.0,2015,11
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-11-01,773.0,755,18.0,647.0,592.0,108.0,163.0,2015,11
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-12-01,150.0,144,6.0,105.0,113.0,39.0,31.0,2015,12
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-12-01,202.0,180,22.0,117.0,120.0,63.0,60.0,2015,12
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-12-01,394.0,367,27.0,189.0,208.0,178.0,159.0,2015,12
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-12-01,200.0,180,20.0,109.0,109.0,71.0,71.0,2015,12
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-12-01,393.0,364,29.0,193.0,210.0,171.0,154.0,2015,12
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-12-01,447.0,443,4.0,397.0,403.0,46.0,40.0,2015,12
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-12-01,655.0,640,15.0,574.0,559.0,66.0,81.0,2015,12
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-12-01,925.0,907,18.0,763.0,744.0,144.0,163.0,2015,12
